codigo,nome,descricao_longa,numero_de_pecas,valor
025.61.688,FAM_PINO_CAPACITIV M3X6,PINO CAPACITIVO SEM FLANGE COBREADO M3X6,0,0.3520
025.24.101-0,M5X35 CCSI,PARAFUSO DIN 912 M5 X 35 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.3030
025.24.024-3,M8X35 CCSI,PARAFUSO DIN 912 M8 X 35 NORMA DE CONSTRUÇÃO: DIN 912 (ISO 4762) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 12.9 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.6325
025.26.045-7,PARAF DIN7985 M3X16,PARAFUSO DIN 7985 M3 X 16 NORMA DE CONSTRUÇÃO: DIN 7985 (ISO 7045) NORMA DA ROSCA: DIN 13 (ISO 965) TOLERÂNCIA DA ROSCA: 6g CLASSE DE RESISTÊNCIA: 5.8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.0524
025.26.129,PARAF DIN7985 M3X4,PARAFUSO DIN 7985 M3 X 4 (INOX),0,0.4640
025.43.734,PARAF DIN965 M2,5X8 PARAFUSO DIN 965 M2.5 X 8,0,0.0694
025.61.634-0,PF PLASTIC FL 2,5X10 PARAFUSO AUTOPLASTIC CABEÇA FLANGEADA Ø2.5 X 10 mm TRATAMENTO: ZINCADO BRANCO TRIVALENTE DIMENSIONAL CONFORME DESENHO DEVE SER ROHS / MUST BE ROHS,0,0.0507
030.31.005-5,ARRUELA DIN125 M8,ARRUELA LISA DIN 125 M8 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.2043
030.31.006-3,ARRUELA DIN125 M12,ARRUELA LISA DIN 125 M12 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.090
030.31.026-8,ARRUELA DIN125 M10,ARRUELA LISA DIN 125 M10 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO BRANCO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.1449
030.31.031,ARRUELA DIN125 M20,ARRUELA LISA DIN 125 M20 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.6137
030.30.019-0,ARRUELA DIN127 M25,ARRUELA DE PRESSÃO DIN 127 M2.5 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS MATERIAL DEVE VIR EM EMBALAGEM RESISTENTE DE NO MÁXIMO1000 PCS COM PESO MÁXIMO DE 1 KG,0,0.0342
030.35.019-7,ARRUELA DIN6798A M4,ARRUELA DENTADA DIN 6798A M4 NORMA DE CONSTRUÇÃO: DIN 6798 A MATERIAL: AÇO CARBONO DUREZA: 350-425 HV (36-43 HRC) TRATAMENTO: OXIDAÇÃO TÉRMICA DEVE SER ROHS / MUST BE ROHS,0,0.0606
030.30.004-1,ARRUELA DIN127 M6,ARRUELA DE PRESSÃO DIN 127 M6 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.0606
030.30.008-4,ARRUELA DIN127 M16,ARRUELA DE PRESSÃO DIN 127 M16 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.4750
030.30.010,ARRUELA DIN127 M20,ARRUELA DE PRESSÃO DIN 127 M20 NORMA DE CONSTRUÇÃO: DIN 127 MATERIAL: AÇO MOLA TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.8129
030.31.027-6,ARRUELA DIN125 M16,ARRUELA LISA DIN 125 M16 NORMA DE CONSTRUÇÃO: DIN 125 (ISO 7089) MATERIAL: AÇO CARBONO TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,0,0.5230
029.01.133,PORCA SEXT DIN934 M8,PORCA SEXTAVADA DIN 934 M8 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 (ISO 965) CLASSE DE RESISTÊNCIA: 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME ISO 3506-2 / MUST BE ROHS,1000,0.2943
029.01.125,PORCA SEXT DIN934 M12,PORCA SEXTAVADA DIN 934 M12 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 (ISO 965) CLASSE DE RESISTÊNCIA: 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME ISO 3506-2 / MUST BE ROHS,500,0.9590
029.01.018,PORCA SEXT FLANGEADA M4,PORCA SEXTAVADA FLANGEADA ESTRILHADA M4 BICOMATIZADA DIN 6923 ISO 4161,1000,1.05
029.01.150,PORCA SEXT DIN934 M2,PORCA SEXTAVADA DIN 934 M2 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 (ISO 965) CLASSE DE RESISTÊNCIA: 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME ISO 898-1 TRATAMENTO: ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,1000,1.8580
029.01.115-0,PORCA SEXT DIN934,PORCA SEXTAVADA DIN 934 M10 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 (ISO 965) CLASSE DE RESISTÊNCIA: 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-1 (ISO 898-2) ISO 898-2 TRATAMENTO ZINCADO BRANCO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,1000,1.8580
029.01.097-8,PORCA AUTOF DIN985,PORCA AUTOTRAVANTE DIN 985 M4 NORMA DE CONSTRUÇÃO: DIN 985 NORMA DA ROSCA: DIN 13 CLASSE DE RESISTÊNCIA: 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME ISO 898-2 / ISO 898-6 TRATAMENTO: ZINCADO BRANCO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,10000,0.3119
02921.00187,PORCA AUTO DIN985,PORCA AUTO TRAVANTE DIN 985 M4 NORMA DE CONSTRUÇÃO: DIN 985 NORMA DA ROSCA: DIN 13 CLASSE DE RESISTÊNCIA: CLASSE 5 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME ISO 898-5 TRATAMENTO: ZINCO BRANCO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,10000,0.1094
02901.00056,PORCA SEXT DIN934 M6,PORCA SEXTAVADA DIN 934 M6 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 CLASSE DE RESISTÊNCIA: CLASSE 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-2) TRATAMENTO: ZINCO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,10000,0.0762
029.01.113-3,PORCA SEXT DIN934,PORCA SEXTAVADA DIN 934 M2.5 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 CLASSE DE RESISTÊNCIA: CLASSE 6 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO: ZINCO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,10000,0.0530
029.01.001-3,PORCA SEXT DIN934,PORCA SEXTAVADA DIN 934 M12 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 (ISO 965) CLASSE DE RESISTÊNCIA: CLASSE 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,20000,0.0520
029.01.093-5,PORCA SEXT DIN934,PORCA SEXTAVADA DIN 934 M3 NORMA DE CONSTRUÇÃO: DIN 934 NORMA DA ROSCA: DIN 13 (ISO 965) CLASSE DE RESISTÊNCIA: CLASSE 8 MATERIAL: AÇO CARBONO PROPRIEDADES MECÂNICAS CONFORME DIN 267-3 (ISO 898-1) TRATAMENTO ZINCADO AMARELO TRIVALENTE DEVE SER ROHS / MUST BE ROHS,1000000,0.0633


